Species,Number_of_studies
Strix aluco,32
Strix uralensis,7
Athene noctua,22
Tyto alba,47
Asio otus,40
Athene cunicularia,78
Strix virgata,2
Strix varia,23
Aegolius acadicus,9
Asio flammeus,14
Strix occidentalis,6
Ninox novaeseelandiae,1
Megascops guatemalae,1
Bubo virginianus,16
Ciccaba nigrolineata,1
Glaucidium brasilianum,2
Megascops asio,15
Strix nebulosa,6
Bubo capensis,2
Ninox strenua,21
Strix rufipes,1
Bubo magellanicus,2
Glaucidium nana,1
Bubo bubo,25
Ninox boobok,3
Megascops kennicottii,5
Otus scops,8
Bubo scandiacus,5
Glaucidium gnoma,4
Aegolius funereus,5
Bubo ascalaphus,1
Surnia ulula,2
Bubo africanus,2
Tyto novaehollandiae,4
Tyto javanica,1
Pulsatrix perspicillata,1
Otus lempiji,1
Glaucidium peruanum,1
Otus lettia,1
Athene brama,1
Glaucidium passerinum,1
Ciccaba huhula,1
Megascops trichopsis,1
Micrathene whitneyi,1
Asio capensis,1
Bubo lacteus,1
Glaucidium perlatum,1
Otus senegalensis,1
Ptilopsis granti,1
Scotopelia peli,1
Strix woodfordii,1
Tyto capensis,2
Ninox connivens,1
Tyto tenebricosa,1
